            2MASS_ID      x@y=0.1      x@y=0.3      x@y=0.5      x@y=0.7      x@y=0.9
  2M16560455+4722147        -4.63         4.96         0.29         0.27         0.03
  2M16560455+4722147       -47.78        26.88        24.04        -1.30        -0.28
  2M16560455+4722147        -7.89         8.89         1.40         1.46         0.07
  2M16560455+4722147        -0.29         0.29        -0.52         0.99         0.08
  2M16560455+4722147        -4.28        -4.32        10.95         4.08         0.08
  2M16560455+4722147         5.15        -6.33        -1.01         1.17         0.05
  2M16560455+4722147        -3.57         3.64         0.21         1.76         0.05
  2M16571775+8650406        -1.50         3.77        -0.24        -0.04         0.03
  2M16571775+8650406        -4.98        10.07        -0.25        -0.06         0.00
  2M16571775+8650406        -8.46        14.48         0.20         0.02         0.03
  2M17115469+5758032         0.64        -3.23         0.29         0.11        -0.03
  2M17115469+5758032         0.28        -1.67        -0.30         0.11         0.05
  2M17115469+5758032        -6.66        13.45         0.47         0.18         0.00
  2M17115469+5758032         0.52        -2.27         0.07         0.16         0.02
  2M17183642+4153170      -184.27        48.42        27.28        10.93        -2.67
  2M17183642+4153170      -182.52       -21.41        53.32        24.79         8.02
  2M17183642+4153170       -54.53        41.17        12.24         1.19       -10.23
  2M17183642+4153170      -182.42       -68.73        55.84        30.21        13.48
  2M17183642+4153170       -15.03        34.37         6.76        -2.74       -14.10
  2M17183642+4153170      -105.27        41.91        18.72         7.07        -5.23
  2M17183642+4153170       -59.67        37.89        13.48         3.91        -7.75
  2M17183642+4153170      -134.05        52.12        21.11         7.10        -9.75
  2M17183642+4153170      -182.52      -142.25        64.41        35.87        15.80
  2M17183642+4153170      -185.47        38.83        37.97        12.40        -6.65
  2M17183642+4153170       -47.46        36.88        11.68         3.36       -10.60
  2M17183642+4153170      -181.05       -29.21        53.09        27.93        13.93
  2M17183642+4153170      -185.02        22.05        44.21        16.14        -2.65
  2M17183642+4153170      -180.92      -145.57         5.32        62.83        29.05
  2M17183642+4153170      -182.75        23.30        35.33        17.74         6.38
  2M17183642+4153170         9.67        14.87        -7.38       -23.08        -7.15
  2M17183642+4153170        11.70        24.22       -23.01       -27.06        -8.03
  2M17183642+4153170        -8.59        12.51         4.81        -7.84         0.38
  2M17500331+4823391        -0.09        -0.89        -0.29        -0.28        -0.02
  2M17500331+4823391        -0.08        -1.02        -0.55        -0.05        -0.05
  2M17500331+4823391        -0.16         0.25         0.19        -0.05         0.08
  2M18051056-2423547      -125.33        33.41        32.71        22.71        10.68
  2M18051056-2423547      -148.74        15.14        28.49        42.75        31.98
  2M18051056-2423547       -44.48        34.18        18.19         0.81        -5.37
  2M18051056-2423547      -154.09       -94.65        98.43        65.29        30.35
